country_code,country,name,role,id_match,year
FRA,France,Albert Batteux,COACH,4024,1960
TCH,Czechoslovakia,Rudolf Vytlacil,COACH,4024,1960
URS,Soviet Union,Gavril Kachalin,COACH,4023,1960
TCH,Czechoslovakia,Rudolf Vytlacil,COACH,4023,1960
,,Konstantin Beskov,COACH,3996,1964
ESP,Spain,José Villalonga,COACH,3996,1964
DEN,Denmark,Poul Petersen,COACH,3995,1964
HUN,Hungary,Lajos Baroti,COACH,3995,1964
,,Konstantin Beskov,COACH,3994,1964
DEN,Denmark,Poul Petersen,COACH,3994,1964
SRB,Serbia,Rajko Mitic,COACH,73910,1968
ITA,Italy,Ferruccio Valcareggi,COACH,73910,1968
URS,Soviet Union,Mikhail Yakuschin,COACH,3939,1968
ENG,England,Sir Alf Ramsey,COACH,3939,1968
BEL,Belgium,Raymond Goethals,COACH,3837,1972
HUN,Hungary,Rudolf Illovszky,COACH,3837,1972
GER,Germany,Helmut Schön,COACH,3836,1972
BEL,Belgium,Raymond Goethals,COACH,3836,1972
GER,Germany,Helmut Schön,COACH,3693,1976
CZE,Czechia,Václav Ježek,COACH,3693,1976
GER,Germany,Helmut Schön,COACH,3691,1976
SRB,Serbia,Ante Mladinic,COACH,3691,1976
NED,Netherlands,George Knobel,COACH,3690,1976
CZE,Czechia,Václav Ježek,COACH,3690,1976
GER,Germany,Jupp Derwall,COACH,3585,1980
BEL,Belgium,Guy Thys,COACH,3585,1980
ESP,Spain,Miguel Muñoz Mozún,COACH,3456,1984
ROU,Romania,Mircea Lucescu,COACH,3456,1984
POR,Portugal,Fernando Cabrita,COACH,3455,1984
GER,Germany,Jupp Derwall,COACH,3455,1984
NED,Netherlands,Rinus Michels,COACH,22,1988
UKR,Ukraine,Valeriy Lobanovskiy,COACH,22,1988
ITA,Italy,Azeglio Vicini,COACH,21,1988
UKR,Ukraine,Valeriy Lobanovskiy,COACH,21,1988
NED,Netherlands,Rinus Michels,COACH,20,1988
GER,Germany,Franz Beckenbauer,COACH,20,1988
UKR,Ukraine,Valeriy Lobanovskiy,COACH,17,1988
ENG,England,Bobby Robson,COACH,17,1988
ESP,Spain,Miguel Muñoz Mozún,COACH,9,1988
GER,Germany,Franz Beckenbauer,COACH,9,1988
GER,Germany,Josef Emmanuel Piontek,COACH,10,1988
ITA,Italy,Azeglio Vicini,COACH,10,1988
NED,Netherlands,Rinus Michels,COACH,15,1988
ENG,England,Bobby Robson,COACH,15,1988
ESP,Spain,Miguel Muñoz Mozún,COACH,8,1988
ITA,Italy,Azeglio Vicini,COACH,8,1988
GER,Germany,Josef Emmanuel Piontek,COACH,7,1988
GER,Germany,Franz Beckenbauer,COACH,7,1988
UKR,Ukraine,Valeriy Lobanovskiy,COACH,14,1988
NED,Netherlands,Rinus Michels,COACH,14,1988
ENG,England,Jack Charlton,COACH,13,1988
ENG,England,Bobby Robson,COACH,13,1988
ESP,Spain,Miguel Muñoz Mozún,COACH,6,1988
GER,Germany,Josef Emmanuel Piontek,COACH,6,1988
GER,Germany,Berti Vogts,COACH,6098,1992
DEN,Denmark,Richard Møller-nielsen,COACH,6098,1992
DEN,Denmark,Richard Møller-nielsen,COACH,6097,1992
NED,Netherlands,Rinus Michels,COACH,6097,1992
GER,Germany,Berti Vogts,COACH,6096,1992
SWE,Sweden,Tommy Svensson,COACH,6096,1992
URS,Soviet Union,Anatoli Byshovets,COACH,5098,1992
,,Andy Roxburgh,COACH,5098,1992
GER,Germany,Berti Vogts,COACH,5097,1992
NED,Netherlands,Rinus Michels,COACH,5097,1992
ENG,England,Graham Taylor,COACH,5091,1992
SWE,Sweden,Tommy Svensson,COACH,5091,1992
URS,Soviet Union,Anatoli Byshovets,COACH,5096,1992
NED,Netherlands,Rinus Michels,COACH,5096,1992
GER,Germany,Berti Vogts,COACH,5095,1992
,,Andy Roxburgh,COACH,5095,1992
ENG,England,Graham Taylor,COACH,5089,1992
FRA,France,Michel Platini,COACH,5089,1992
GER,Germany,Berti Vogts,COACH,5094,1992
URS,Soviet Union,Anatoli Byshovets,COACH,5094,1992
,,Andy Roxburgh,COACH,5093,1992
NED,Netherlands,Rinus Michels,COACH,5093,1992
ENG,England,Graham Taylor,COACH,5108,1992
DEN,Denmark,Richard Møller-nielsen,COACH,5108,1992
FRA,France,Michel Platini,COACH,5099,1992
SWE,Sweden,Tommy Svensson,COACH,5099,1992
GER,Germany,Berti Vogts,COACH,52917,1996
CZE,Czechia,Dusan Uhrin,COACH,52917,1996
ENG,England,Terry Venables,COACH,52916,1996
GER,Germany,Berti Vogts,COACH,52916,1996
CZE,Czechia,Dusan Uhrin,COACH,52915,1996
FRA,France,Aimé Jacquet,COACH,52915,1996
CRO,Croatia,Miroslav Blaževic,COACH,52913,1996
GER,Germany,Berti Vogts,COACH,52913,1996
GER,Germany,Berti Vogts,COACH,52511,1996
ITA,Italy,Arrigo Sacchi,COACH,52511,1996
CZE,Czechia,Dusan Uhrin,COACH,52510,1996
RUS,Russia,Oleg Romantsev,COACH,52510,1996
DEN,Denmark,Richard Møller-nielsen,COACH,52517,1996
TUR,Türkiye,Fatih Terim,COACH,52517,1996
POR,Portugal,António Luis Oliveira Ribeiro,COACH,52516,1996
CRO,Croatia,Miroslav Blaževic,COACH,52516,1996
ENG,England,Terry Venables,COACH,52487,1996
NED,Netherlands,Guus Hiddink,COACH,52487,1996
POR,Portugal,Artur Jorge Melo Teixeira,COACH,52486,1996
SCO,Scotland,Craig Brown,COACH,52486,1996
BUL,Bulgaria,Dimitar Penev,COACH,52504,1996
FRA,France,Aimé Jacquet,COACH,52504,1996
DEN,Denmark,Richard Møller-nielsen,COACH,52515,1996
CRO,Croatia,Miroslav Blaževic,COACH,52515,1996
GER,Germany,Berti Vogts,COACH,52509,1996
RUS,Russia,Oleg Romantsev,COACH,52509,1996
ESP,Spain,Javier Clemente Lázaro,COACH,52503,1996
FRA,France,Aimé Jacquet,COACH,52503,1996
ENG,England,Terry Venables,COACH,52485,1996
SCO,Scotland,Craig Brown,COACH,52485,1996
ITA,Italy,Arrigo Sacchi,COACH,52508,1996
CZE,Czechia,Dusan Uhrin,COACH,52508,1996
NED,Netherlands,Guus Hiddink,COACH,52484,1996
POR,Portugal,Artur Jorge Melo Teixeira,COACH,52484,1996
ROU,Romania,Anghel Iordănescu,COACH,52502,1996
BUL,Bulgaria,Dimitar Penev,COACH,52502,1996
RUS,Russia,Oleg Romantsev,COACH,52507,1996
ITA,Italy,Arrigo Sacchi,COACH,52507,1996
FRA,France,Aimé Jacquet,COACH,52501,1996
ROU,Romania,Anghel Iordănescu,COACH,52501,1996
SCO,Scotland,Craig Brown,COACH,52483,1996
NED,Netherlands,Guus Hiddink,COACH,52483,1996
POR,Portugal,António Luis Oliveira Ribeiro,COACH,52512,1996
DEN,Denmark,Richard Møller-nielsen,COACH,52512,1996
CZE,Czechia,Dusan Uhrin,COACH,52506,1996
GER,Germany,Berti Vogts,COACH,52506,1996
BUL,Bulgaria,Dimitar Penev,COACH,52500,1996
ESP,Spain,Javier Clemente Lázaro,COACH,52500,1996
POR,Portugal,Artur Jorge Melo Teixeira,COACH,52482,1996
ENG,England,Terry Venables,COACH,52482,1996
ITA,Italy,Dino Zoff,COACH,65299,2000
FRA,France,Roger Lemerre,COACH,65299,2000
FRA,France,Roger Lemerre,COACH,65183,2000
SRB,Serbia,Vujadin Boškov,COACH,65181,2000
NED,Netherlands,Frank Rijkaard,COACH,65181,2000
ROU,Romania,Emeric Ienei,COACH,65180,2000
ITA,Italy,Dino Zoff,COACH,65180,2000
TUR,Türkiye,Mustafa Denizli,COACH,65179,2000
NED,Netherlands,Frank Rijkaard,COACH,64868,2000
FRA,France,Roger Lemerre,COACH,64868,2000
CZE,Czechia,Jozef Chovanec,COACH,64867,2000
SWE,Sweden,Bosse Johansson,COACH,64867,2000
NOR,Norway,Nils Johan Semb,COACH,64862,2000
SVN,Slovenia,Srečko Katanec,COACH,64862,2000
ESP,Spain,José Antonio Camacho,COACH,64861,2000
SRB,Serbia,Vujadin Boškov,COACH,64861,2000
GER,Germany,Erich Ribbeck,COACH,64850,2000
ROU,Romania,Emeric Ienei,COACH,64849,2000
ENG,England,Kevin Keegan,COACH,64849,2000
SWE,Sweden,Tommy Söderberg,COACH,64856,2000
ITA,Italy,Dino Zoff,COACH,64856,2000
BEL,Belgium,Robert Waseige,COACH,64855,2000
TUR,Türkiye,Mustafa Denizli,COACH,64855,2000
SRB,Serbia,Vujadin Boškov,COACH,64859,2000
NOR,Norway,Nils Johan Semb,COACH,64859,2000
ESP,Spain,José Antonio Camacho,COACH,64860,2000
SVN,Slovenia,Srečko Katanec,COACH,64860,2000
GER,Germany,Erich Ribbeck,COACH,64847,2000
ENG,England,Kevin Keegan,COACH,64847,2000
ROU,Romania,Emeric Ienei,COACH,64848,2000
FRA,France,Roger Lemerre,COACH,64865,2000
CZE,Czechia,Jozef Chovanec,COACH,64865,2000
TUR,Türkiye,Mustafa Denizli,COACH,64854,2000
SWE,Sweden,Tommy Söderberg,COACH,64854,2000
BEL,Belgium,Robert Waseige,COACH,64853,2000
ITA,Italy,Dino Zoff,COACH,64853,2000
NOR,Norway,Nils Johan Semb,COACH,64858,2000
ESP,Spain,José Antonio Camacho,COACH,64858,2000
ENG,England,Kevin Keegan,COACH,64846,2000
ROU,Romania,Emeric Ienei,COACH,64845,2000
GER,Germany,Erich Ribbeck,COACH,64845,2000
CZE,Czechia,Jozef Chovanec,COACH,64864,2000
NED,Netherlands,Frank Rijkaard,COACH,64864,2000
ITA,Italy,Dino Zoff,COACH,64852,2000
TUR,Türkiye,Mustafa Denizli,COACH,64852,2000
SWE,Sweden,Tommy Söderberg,COACH,64851,2000
BEL,Belgium,Robert Waseige,COACH,64851,2000
SWE,Sweden,Tommy Söderberg,COACH,73753,2004
DEN,Denmark,Morten Olsen,COACH,73753,2004
ESP,Spain,Luis Aragonés Suárez,COACH,301696,2008
GER,Germany,Joachim Löw,COACH,301696,2008
ESP,Spain,Luis Aragonés Suárez,COACH,301698,2008
NED,Netherlands,Guus Hiddink,COACH,301698,2008
TUR,Türkiye,Fatih Terim,COACH,301697,2008
GER,Germany,Joachim Löw,COACH,301697,2008
ITA,Italy,Roberto Donadoni,COACH,301702,2008
ESP,Spain,Luis Aragonés Suárez,COACH,301702,2008
NED,Netherlands,Guus Hiddink,COACH,301701,2008
NED,Netherlands,Marco van Basten,COACH,301701,2008
TUR,Türkiye,Fatih Terim,COACH,301700,2008
CRO,Croatia,Slaven Bilić,COACH,301700,2008
GER,Germany,Hans-Dieter Flick,ASSISTANT_COACH,301699,2008
BRA,Brazil,Luiz Felipe Scolari,COACH,301699,2008
SWE,Sweden,Lars Lagerbäck,COACH,300705,2008
